orthopiwi,m_count,m_length,PIWI
0_-1,30886.4285714286,10669147.0714286,-1
1_-1,270126,88804183,-1
1_1,251418.777777778,74921744,1
10_-1,6233,2191400,-1
10_1,172569.363636364,60640196.0909091,1
2_-1,392831.875,161375980.375,-1
3_1,113501.214285714,38162597.4285714,1
4_-1,24600.6,10990099.4,-1
5_-1,241203,67473705,-1
5_1,16685,7633424,1
6_-1,22122.2857142857,5750007,-1
6_1,47477,13739348.6153846,1
7_1,61936,27125343.6666667,1
8_1,133050.923076923,48311779.7692308,1
9_-1,32504.3333333333,8327552.16666667,-1
9_1,52287.6666666667,16723923.6666667,1
